location,det1,det2,det3,det4,det5,totals,treat,year,season1,season2,season3,season4,season5,uv,gv,cvb,uvVar,uvRange,iqr75 ,iqr50,max,min,median,site
s1,0,0,0,1,0,1,Control,2,a,a,a,b,b,0.19,0.56,0.79,194.83,48.06,26.63,15.16,50.1,2.04,15.16,SGL
s2,1,0,1,0,1,3,Control,2,a,a,a,b,b,0.21,0.26,0.85,155.39,43.89,31.92,17.34,44.67,0.78,17.34,SGL
s3,0,2,1,0,2,5,Playback,2,a,a,a,b,b,0.12,0.12,0.85,330.82,70.98,14.48,5.16,70.98,0,5.16,SGL
s4,1,2,2,1,1,7,Playback,2,a,a,a,b,b,0.46,0.28,0.85,1415.28,96.36,88.35,33.93,96.96,0.6,33.93,SGL
s5,0,0,0,0,1,1,Control,2,a,a,a,b,b,0.13,0.09,0.85,203.08,42.71,18.83,7.77,42.71,0,7.77,SGL
s6,1,1,0,1,1,4,Playback,2,a,a,a,b,b,0.43,0.19,0.85,608,82.41,55.99,39.77,89.36,6.96,39.77,SGL
s7,1,1,0,0,0,2,Playback,2,a,a,a,b,b,0.19,0.48,0.84,139.53,39.23,26.05,14.47,45.77,6.53,14.47,SGL
s8,0,0,0,0,0,0,Control,2,a,a,a,b,b,0.33,0.19,0.86,356.03,56.63,51.07,27.19,65.05,8.42,27.19,SGL
s9,0,0,1,0,0,1,Playback,2,a,a,a,b,b,0.48,0.31,0.86,305.73,64.52,62.46,47.74,74.24,9.72,47.74,SGL
s10,1,1,1,0,1,4,Control,2,a,a,a,b,b,0.31,0.24,0.86,399.5,83.72,39.12,27.6,85.95,2.23,27.6,SGL
s11,1,0,0,0,1,2,Control,2,a,a,a,b,b,0.43,0.36,0.85,664.25,81.4,64.05,39.63,95.15,13.74,39.63,SGL
s12,0,2,0,1,1,4,Playback,2,a,a,a,b,b,0.3,0.22,0.82,473.45,69.26,44.82,24.19,69.26,0,24.19,SGL
