stop,plotStop,treat,dayID,day,hour,selection,seconds,minutes,lowFreq,highFreq,avgPowerDensity,maxPower ,energy,deltaTime,proximity
2,2,c,5,530,930,37,4262.8,10.79,5643,8568.1,-85.1,-70.5,67.4,1.653,f
2,2,c,5,530,930,38,4272.6,10.95,4721.7,8660.3,-85.1,-68.5,69.4,1.923,f
2,2,c,5,530,930,39,4290.5,11.25,5044.1,8798.5,-85,-68.8,68.2,1.518,f
2,2,c,5,530,930,40,4297.7,11.37,5113.2,8729.4,-85.1,-69.6,68.9,1.874,f
2,2,c,5,530,930,41,5194.8,26.32,5182.3,8591.2,-85.3,-71.3,68.4,1.904,
3,3,e,1,531,1800,1,122.4,0,5050.1,8412.9,-82.3,-64.2,71.6,2.021,f
3,3,e,1,531,1800,2,128.6,0.1,4658.6,7883.1,-81.1,-64.1,72.6,1.929,f
3,3,e,1,531,1800,3,144,0.36,5280.5,8528.1,-82,-63.4,71,1.696,f
3,3,e,1,531,1800,4,150.2,0.46,5142.3,8343.8,-82.8,-66.1,70.3,1.708,f
3,3,e,1,531,1800,5,162.1,0.66,4865.9,8597.2,-81,-63.7,72.9,1.806,f
3,3,e,1,531,1800,6,169.1,0.78,5004.1,8781.4,-80.6,-60.9,74.6,2.406,n
3,3,e,1,531,1800,7,176,0.89,4566.4,8505,-81.2,-62.2,74,2.296,n
3,3,e,1,531,1800,8,186.8,1.07,4750.7,8712.3,-81,-58.9,74,2.241,n
3,3,e,1,531,1800,9,217.8,1.59,5257.4,8343.8,-82.7,-66,71.1,2.125,f
3,3,e,1,531,1800,10,235.9,1.89,4865.9,8366.8,-81.6,-67.6,72.6,2.039,f
3,3,e,1,531,1800,11,243.5,2.02,4681.6,8528.1,-82.9,-68,71,1.757,f
3,3,e,1,531,1800,12,249.9,2.13,4681.6,8320.8,-80.9,-65.3,72,1.451,f
3,3,e,1,531,1800,13,257.4,2.25,4888.9,8666.3,-81.6,-62.5,72.8,2.021,f
3,3,e,1,531,1800,14,266.6,2.4,4796.8,8551.1,-81.5,-64,72.6,1.855,f
3,3,e,1,531,1800,15,301.8,2.99,4750.7,8251.7,-81.3,-61.9,72.6,1.904,f
3,3,e,1,531,1800,16,311.9,3.16,4865.9,8113.5,-67,-51.5,86.2,1.708,nn
3,3,e,1,531,1800,17,319.2,3.28,4727.7,8228.6,-80.6,-64.7,72.8,1.708,f
3,3,e,1,531,1800,18,366.8,4.07,4635.5,8228.6,-83.1,-70.6,69.5,1.396,f
3,3,e,1,531,1800,19,552.5,7.17,4474.3,8297.7,-82.6,-66.2,72,2.082,f
3,3,e,1,531,1800,20,558.7,7.27,4313.1,8620.2,-82,-65.3,73.4,2.265,f
3,3,e,1,531,1800,21,565.8,7.39,4336.1,8182.6,-82.8,-65.7,71.5,1.904,f
3,3,e,1,531,1800,22,573.8,7.52,4405.2,8366.8,-82.7,-64.5,72.4,2.192,f
3,3,e,1,531,1800,23,596.2,7.9,4819.8,8274.7,-83,-67.3,70.7,1.843,f
3,3,e,1,531,1800,24,646.5,8.74,4658.6,8159.5,-82.5,-67.5,71.6,1.953,f
3,3,e,1,531,1800,25,652.5,8.84,4566.4,8274.7,-82,-63.1,71.8,1.733,f
3,3,e,1,531,1800,26,689.2,9.45,4428.3,8320.8,-83.1,-65.5,71.6,2.088,f
3,3,e,1,531,1800,27,696.9,9.58,4911.9,8205.6,-83.2,-66.6,70.3,1.861,f
3,3,e,1,531,1800,28,703.9,9.69,4819.8,8712.3,-82.9,-64.4,71.7,2.021,f
3,3,e,1,531,1800,29,727.9,10.09,4543.4,7998.3,-82.3,-63.2,71.7,1.978,f
3,3,e,1,531,1800,31,749.2,10.45,4658.6,8159.5,-83.7,-69.2,69.7,1.672,f
3,3,e,1,531,1800,32,755.9,10.56,4520.4,8274.7,-83.4,-69.6,70.4,1.733,f
3,3,e,1,531,1800,33,761.8,10.66,4543.4,8528.1,-82.8,-63.9,71.7,1.972,f
3,3,e,1,531,1800,34,785.3,11.05,4773.7,8366.8,-83.1,-66.2,71.1,1.947,f
3,3,e,1,531,1800,35,793.4,11.18,4474.3,8320.8,-83.5,-67.9,71.2,2.088,f
3,3,e,1,531,1800,36,802.6,11.34,4566.4,8435.9,-83.5,-65.6,70.9,1.978,f
3,3,e,1,531,1800,37,820.3,11.63,4520.4,8482,-83.9,-66.1,70.4,1.898,f
3,3,e,1,531,1800,38,840,11.96,4704.6,8505,-83.9,-69.4,70.8,2.174,f
3,3,e,1,531,1800,39,855.4,12.22,4612.5,8712.3,-84.4,-68.9,70.3,1.978,f
3,3,e,1,531,1800,40,1985.8,31.06,4888.9,8551.1,-80.7,-64.2,71.9,1.365,f
3,3,e,2,601,730,1,12835.5,0,4819.8,7998.3,-83.1,-69.6,70.4,1.935,f
3,3,e,2,601,730,2,12876.4,0.68,4819.8,8136.5,-79.2,-63.7,73.2,1.457,f
3,3,e,2,601,730,3,12916.2,1.35,4612.5,8205.6,-81.6,-68.6,71.3,1.482,f
3,3,e,2,601,730,4,13412.4,9.62,4589.5,8297.7,-83.1,-68.5,69.3,1.274,f
3,3,e,2,601,730,5,13429.2,9.9,4911.9,8021.3,-82.4,-71.5,69.3,1.316,f
3,3,e,2,601,730,6,13477.5,10.7,5257.4,7883.1,-81.9,-66.5,69.3,1.365,f
3,3,e,2,601,730,7,13489.4,10.9,5211.4,8228.6,-82.1,-69,69.6,1.359,f
3,3,e,2,601,730,8,13507,11.19,4842.8,8251.7,-79.8,-63.1,72.9,1.457,f
3,3,e,2,601,730,9,13519,11.39,4888.9,7077,-79.9,-64.9,70.3,1.341,f
3,3,e,2,601,730,10,13600.7,12.75,4773.7,8021.3,-77.9,-62.9,73.7,1.188,f
3,3,e,2,601,730,11,13619.3,13.06,4865.9,7952.2,-71.3,-55,82.2,1.972,n
3,3,e,2,601,730,12,13651.5,13.6,5027.1,8021.3,-71,-53,82,1.825,n
3,3,e,2,601,730,13,13824.6,16.49,5050.1,7860.1,-80.1,-67.1,71,1.249,f
3,3,e,2,601,730,14,13835.5,16.67,4958,7883.1,-80.4,-60.5,71.7,1.463,f
3,3,e,2,601,730,15,13906.9,17.86,4888.9,8044.4,-80.9,-68,71.2,1.427,f
3,3,e,2,601,730,16,13915.8,18.01,4911.9,7860.1,-80,-65.6,72.6,1.721,f
3,3,e,2,601,730,17,13963.7,18.8,5004.1,8021.3,-71.9,-53.4,81.7,2.088,n
3,3,e,2,601,730,18,13988.4,19.22,5027.1,8044.4,-80.2,-67.5,70.5,1.059,f
3,3,e,2,601,730,19,14284.8,24.16,5096.2,8136.5,-81,-64.3,70.8,1.396,f
3,3,e,2,601,730,20,14305,24.49,5027.1,7998.3,-80,-61,71,1.163,f
3,3,e,2,601,730,21,14373.7,25.64,4865.9,8044.4,-82.1,-68.4,70.7,1.641,f
3,3,e,2,601,730,22,14385.2,25.83,4888.9,8113.5,-81.6,-67.4,70.4,1.372,f
3,3,e,2,601,730,23,14395.3,26,4750.7,7998.3,-81.3,-67,71.9,1.733,
3,3,e,3,601,830,1,5,0,4681.6,8113.5,-80.2,-65.2,73.1,1.684,f
3,3,e,3,601,830,2,19.1,0.23,4911.9,7929.2,-79.3,-64.9,72.4,1.347,f
3,3,e,3,601,830,3,98.2,1.55,4911.9,7998.3,-82,-70.2,69.2,1.139,ff
3,3,e,3,601,830,4,124.8,2,5119.2,7883.1,-81,-67.7,69,0.974,ff
3,3,e,3,601,830,5,259.5,4.24,5027.1,7998.3,-77.4,-64.6,74.5,1.408,f
3,3,e,3,601,830,6,298.7,4.89,5349.6,7929.2,-81.7,-69.3,69.7,1.5,f
3,3,e,3,601,830,7,318.1,5.22,5418.7,8021.3,-80.6,-67.1,69.7,1.096,f
3,3,e,3,601,830,8,423.3,6.97,5556.9,7906.2,-81.5,-69.9,68.2,1.084,f
3,3,e,3,601,830,9,1154.5,19.16,5188.3,7952.2,-81.9,-69.8,69.2,1.286,f
3,3,e,3,601,830,10,2148.8,35.73,5073.2,7906.2,-70.3,-50.2,83.3,2.223,n
